,Open,Close,High,Low,Volume,Date
479,3.3175,3.29,3.345,3.28,,2020-06-16
480,3.2925,3.2925,3.3,3.255,,2020-06-15
481,3.295,3.3,3.33,3.2825,,2020-06-12
482,3.26,3.2975,3.31,3.2525,,2020-06-11
483,3.2725,3.2625,3.28,3.2425,,2020-06-10
484,3.3225,3.275,3.34,3.2675,,2020-06-09
485,3.335,3.3375,3.3475,3.31,,2020-06-08
486,3.2875,3.3125,3.325,3.2825,,2020-06-05
487,3.2425,3.29,3.295,3.24,,2020-06-04
488,3.2425,3.24,3.245,3.2125,,2020-06-03
489,3.235,3.2425,3.2525,3.22,,2020-06-02
490,3.255,3.2325,3.2775,3.1925,,2020-06-01
491,3.275,3.2575,3.295,3.2325,,2020-05-29
492,3.2025,3.275,3.3075,3.195,,2020-05-28
493,3.2,3.205,3.2175,3.1925,,2020-05-27
494,3.1675,3.19,3.23,3.165,,2020-05-26
495,3.1775,3.18,3.19,3.16,,2020-05-22
496,3.19,3.1775,3.2025,3.1625,,2020-05-21
497,3.2125,3.195,3.215,3.1725,,2020-05-20
498,3.2075,3.2125,3.255,3.205,,2020-05-19
499,3.2,3.2075,3.22,3.18,,2020-05-18
500,0.0,3.1925,3.205,0.0,,2020-05-15
501,0.0,3.2025,0.0,0.0,,2020-05-14
